,Customer_ID,Credit_Utilization_Ratio,Outstanding_Debt,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Mortgage Loan,Home Equity Loan,Auto Loan,Student Loan,Personal Loan,Payday Loan,Debt Consolidation Loan,Credit-Builder Loan,Occupation,Age,Annual_Income
25,CUS_0x1063,34.20613941916667,583.11,10.0,4.0,10.0,16.2,1,0,0,0,1,1,1,0,Architect,20.0,128698.76
26,CUS_0x1069,33.7946146775,208.80000000000004,10.0,3.0,8.583333333333334,17.583333333333332,0,0,1,0,1,0,0,0,Accountant,32.0,58637.34
27,CUS_0x106f,38.39795202333333,767.91,10.0,2.0,3.6666666666666665,6.666666666666667,1,1,0,0,0,0,0,0,Developer,55.0,134035.08
28,CUS_0x1075,31.819507615000003,413.18,6.0,3.0,26.666666666666668,10.75,0,0,0,1,1,0,1,0,Manager,39.0,24709.33
29,CUS_0x107c,33.04857997083334,1920.25,27.0,6.0,26.666666666666668,16.181818181818183,1,1,1,0,0,1,0,0,Journalist,15.0,49718.55
30,CUS_0x107e,32.10593680666667,989.71,15.0,6.0,8.5,9.727272727272727,0,1,0,1,1,1,0,0,Architect,15.0,75095.91
31,CUS_0x1087,32.31985187,1027.64,10.0,3.0,9.5,10.454545454545455,0,0,0,0,0,1,0,0,Doctor,52.0,42153.13
32,CUS_0x108a,31.753649760000002,4882.12,21.0,9.0,15.916666666666666,15.166666666666666,0,1,0,1,1,1,1,1,Journalist,39.0,36982.36
33,CUS_0x1096,30.027919645833332,752.86,9.0,3.0,19.25,20.083333333333332,0,1,0,0,0,0,1,0,Lawyer,43.0,12931.56
34,CUS_0x1098,31.2674905475,1859.53,21.0,2.0,22.333333333333332,12.916666666666666,0,0,1,0,0,1,0,0,Musician,23.0,20652.98
35,CUS_0x109b,32.431717990833334,583.6,7.0,3.0,24.583333333333332,12.25,0,0,0,1,1,0,0,0,Manager,56.0,31641.93
36,CUS_0x109d,32.15143754416667,2950.8000000000006,27.0,6.0,35.416666666666664,18.083333333333332,1,0,0,0,0,1,0,0,Writer,45.0,49140.87
37,CUS_0x109f,32.824198253333336,942.71,9.0,2.0,16.666666666666668,54.0,0,1,0,0,0,0,0,0,Teacher,41.0,130435.86
38,CUS_0x10a9,32.12957871166667,836.66,4.0,0.0,8.833333333333334,10.1,0,0,0,0,0,0,0,0,Journalist,42.0,17603.265
39,CUS_0x10aa,36.28439671416667,444.51,7.0,0.0,9.25,9.7,0,0,0,0,0,0,0,0,Musician,20.0,114432.03
40,CUS_0x10ac,32.143079379166664,853.41,15.0,4.0,25.666666666666668,11.1,0,1,0,0,0,0,1,1,Developer,29.0,16718.645
41,CUS_0x10b3,35.70853388916667,260.29,9.0,3.0,8.166666666666666,0.2727272727272727,0,0,1,1,0,0,0,0,Mechanic,49.0,136150.6
42,CUS_0x10b6,32.79664006,277.93,19.0,3.0,6.0,12.545454545454545,0,0,0,0,0,1,1,1,Journalist,49.0,5691341.0
43,CUS_0x10bb,31.739277949166667,133.63,11.0,4.0,14.0,3.0,0,1,1,0,0,1,1,0,Journalist,35.0,60830.92
44,CUS_0x10c0,31.703199743333332,1388.5600000000002,23.0,2.0,59.083333333333336,25.0,0,0,1,0,0,1,0,0,Architect,39.0,49454.13
45,CUS_0x10c5,34.71218522583333,1134.83,10.0,1.0,10.416666666666666,5.0,0,0,0,0,0,1,0,0,Entrepreneur,24.0,158623.16
46,CUS_0x10d7,30.9281994275,4912.8,21.0,9.0,37.416666666666664,19.166666666666668,1,0,1,1,1,0,0,1,Developer,40.0,15968.14
47,CUS_0x10dd,33.670984367500004,1336.91,5.0,4.0,28.0,18.636363636363637,0,0,0,1,1,1,0,1,Teacher,25.0,105645.6
48,CUS_0x10df,31.110329750000002,2328.08,23.0,3.0,13.416666666666666,17.583333333333332,0,0,1,1,0,0,0,0,Musician,28.0,9929.235
49,CUS_0x10e2,32.0143379725,2504.1,31.0,7.0,41.75,23.7,0,1,1,0,1,0,0,1,MediaManager,38.0,43133.85
50,CUS_0x10e7,29.791543426666667,2699.17,33.0,4.0,15.25,19.25,1,1,1,0,0,0,1,0,Engineer,20.0,64933.76
51,CUS_0x10eb,34.72843626833333,677.4,10.0,2.0,8.0,7.818181818181818,0,0,0,1,0,1,0,0,Journalist,51.0,28315.95
52,CUS_0x10ee,30.7885578225,456.02,15.0,0.0,10.666666666666666,13.75,0,0,0,0,0,0,0,0,Journalist,30.0,12660.16
53,CUS_0x10f9,37.5570523075,1138.36,4.0,0.0,7.833333333333333,0.6363636363636364,0,0,0,0,0,0,0,0,Lawyer,54.0,150131.68
54,CUS_0x10fd,31.046167795000002,226.37,2.0,4.0,13.75,47.36363636363637,1,1,0,0,1,0,0,0,Developer,30.0,39576.59
55,CUS_0x10ff,32.46717232666666,684.0499999999998,6.0,2.0,7.833333333333333,19.583333333333332,0,0,1,1,0,0,0,0,Accountant,37.0,16341.075
56,CUS_0x1100,30.391774809166666,2169.75,23.0,2.0,55.416666666666664,61.90909090909091,1,0,0,1,0,0,0,0,Accountant,22.0,43062.54
57,CUS_0x1107,33.264611494166665,2717.85,21.0,8.0,40.083333333333336,24.818181818181817,0,0,0,0,1,0,1,1,Writer,31.0,28952.76
58,CUS_0x1108,36.46427779166667,337.9,8.0,0.0,10.75,7.833333333333333,0,0,0,0,0,0,0,0,Accountant,26.0,117499.47
59,CUS_0x1109,31.434374171666665,1957.32,18.0,6.0,23.833333333333332,11.272727272727273,1,1,1,0,0,1,0,1,Lawyer,43.0,76284.72
60,CUS_0x1119,31.476248692499997,2161.23,26.0,2.0,15.416666666666666,18.0,0,0,0,0,0,0,0,0,Entrepreneur,36.0,56301.9
61,CUS_0x111b,34.43745733666667,762.48,7.0,3.0,4.416666666666667,11.6,0,1,0,0,0,0,0,0,Manager,41.0,70277.22
62,CUS_0x111c,32.21773272666667,4439.92,17.0,8.0,52.333333333333336,14.916666666666666,1,1,1,0,1,1,1,0,Journalist,24.0,71809.76
63,CUS_0x1123,31.550587491666665,2375.88,34.0,3.0,26.166666666666668,15.0,0,1,1,0,0,0,0,1,Writer,15.0,15264.98
64,CUS_0x112d,30.353826249999997,2390.37,31.0,5.0,48.416666666666664,10.454545454545455,0,0,0,0,1,1,0,0,Accountant,23.0,14728.21
65,CUS_0x112e,32.00168345583333,660.26,11.0,4.0,13.166666666666666,9.636363636363637,0,1,1,0,1,0,0,0,Mechanic,32.0,20162.26
66,CUS_0x112f,30.810675940833335,1069.19,5.0,1.0,0.75,2.3333333333333335,0,0,1,0,0,0,0,0,Mechanic,21.0,75506.42
67,CUS_0x1130,34.773560223333334,1056.3,13.0,0.0,23.5,13.333333333333334,0,0,0,0,0,0,0,0,Journalist,37.0,137798.88
68,CUS_0x1132,30.436065451666668,1447.57,20.0,4.0,27.583333333333332,17.2,0,1,0,1,0,0,1,0,Mechanic,40.0,46268.4
69,CUS_0x1134,31.54309267083333,168.35,8.0,3.0,1.5,4.090909090909091,1,0,0,0,0,0,1,1,Doctor,49.0,15279.545
70,CUS_0x1135,32.78999770916666,727.88,5.0,3.0,5.833333333333333,5.777777777777778,0,0,1,0,0,0,0,0,Journalist,22.0,83358.3
71,CUS_0x1136,32.88098977833334,1271.23,33.0,5.0,43.333333333333336,11.545454545454545,1,1,1,0,0,0,1,0,Entrepreneur,22.0,37360.94
72,CUS_0x1138,35.2548519225,242.75,10.0,0.0,14.666666666666666,3.272727272727273,0,0,0,0,0,0,0,0,Lawyer,44.0,154868.24
73,CUS_0x1139,32.013967055,1320.61,13.0,0.0,17.916666666666668,18.333333333333332,0,0,0,0,0,0,0,0,Scientist,32.0,94991.82
74,CUS_0x113e,32.70395408583333,1976.63,24.0,8.0,36.25,17.1,1,0,1,1,1,0,1,0,Manager,45.0,34476.68
75,CUS_0x1140,31.462039121666667,4128.98,28.0,6.0,17.833333333333332,18.90909090909091,1,0,1,0,1,1,1,1,Accountant,31.0,14532812.0
76,CUS_0x1144,35.45700915583333,695.12,18.0,2.0,29.5,18.11111111111111,0,1,1,0,0,0,0,0,Doctor,43.0,135851.24
77,CUS_0x1145,33.749544705,1263.1,32.0,9.0,61.0,25.25,1,1,0,1,0,1,0,1,Teacher,24.0,17975.32
78,CUS_0x114a,31.543946987500004,642.42,2.0,2.0,14.916666666666666,2.5454545454545454,0,1,0,1,0,0,0,0,Developer,43.0,15305.46
79,CUS_0x114b,31.925104430833333,1049.33,5.0,3.0,24.416666666666668,8.909090909090908,0,0,1,0,0,1,0,0,Entrepreneur,37.0,107118.96
80,CUS_0x1151,29.558401154166663,3762.64,29.0,6.0,35.583333333333336,24.25,0,1,1,0,1,1,0,0,Journalist,41.0,17692.27
81,CUS_0x1152,34.33800278666667,800.89,6.0,2.0,12.25,4.9,0,0,0,0,1,1,0,0,Accountant,29.0,31316.47
82,CUS_0x1154,31.30044003916667,2869.83,19.0,5.0,43.75,15.0,0,0,0,0,0,1,0,1,Developer,41.0,7645.095
83,CUS_0x1155,35.149342170000004,471.82,6.0,3.0,1.5833333333333333,2.909090909090909,0,1,0,0,1,1,0,0,Developer,42.0,158483.48
84,CUS_0x1156,33.46888338666667,1971.8100000000002,17.0,6.0,18.166666666666668,11.666666666666666,0,1,0,1,0,1,1,0,Entrepreneur,25.0,10060.015
85,CUS_0x115c,33.31547324666667,4453.51,15.0,9.0,24.5,21.333333333333332,1,0,0,1,0,0,1,1,Engineer,20.0,41695.76
86,CUS_0x1168,31.345940214166664,998.4699999999999,9.0,2.0,8.666666666666666,3.0,1,0,0,1,0,0,0,0,Writer,42.0,76440.52
87,CUS_0x1169,37.93530068583333,1316.45,8.0,4.0,6.666666666666667,6.2727272727272725,0,0,0,1,0,1,0,1,Lawyer,34.0,115324.62
88,CUS_0x117d,32.336375572499996,1340.31,9.0,4.0,13.333333333333334,0.9,0,0,0,1,0,0,1,0,MediaManager,24.0,70779.18
89,CUS_0x117f,33.117159970833335,1405.22,12.0,3.0,13.916666666666666,8.166666666666666,1,1,0,0,0,0,0,1,Scientist,52.0,93847.86
90,CUS_0x1182,34.978043004166665,433.68,12.0,4.0,4.083333333333333,46.833333333333336,0,1,0,0,0,1,1,0,Musician,24.0,176696.88
91,CUS_0x1183,33.930708736666666,945.29,12.0,2.0,13.083333333333334,1.9166666666666667,1,0,0,0,0,0,0,1,Mechanic,23.0,134393.73
92,CUS_0x1184,32.09700264416667,707.29,11.0,3.0,9.25,8.818181818181818,1,0,0,1,0,1,0,0,Lawyer,49.0,19867.475
93,CUS_0x1185,32.923977361666665,2422.18,29.0,6.0,24.083333333333332,9.75,0,0,0,1,1,1,1,1,Accountant,25.0,18963.65
94,CUS_0x1190,31.079282236666668,809.59,9.0,3.0,29.083333333333332,57.333333333333336,0,0,1,1,1,0,0,0,MediaManager,45.0,44134.06
95,CUS_0x1192,34.862775750000004,1275.32,1.0,2.0,15.916666666666666,13.181818181818182,0,0,0,0,0,1,0,0,MediaManager,47.0,16319.375
96,CUS_0x1193,32.36960515916667,886.59,20.0,1.0,27.916666666666668,13.0,0,0,0,0,0,0,0,1,Developer,46.0,31877.72
97,CUS_0x1195,34.82340782416667,362.48,16.0,2.0,26.916666666666668,16.363636363636363,0,0,1,0,0,0,0,0,Manager,32.0,30429.91
98,CUS_0x1197,31.0011479275,755.17,11.0,3.0,28.666666666666668,9.272727272727273,0,0,0,0,0,0,0,1,Lawyer,29.0,92300.01
99,CUS_0x119e,33.04664893166667,1191.91,15.0,6.0,26.916666666666668,13.0,1,1,1,1,0,0,0,0,Mechanic,38.0,63601.48
100,CUS_0x11a4,35.23351692666667,1280.42,30.0,2.0,37.666666666666664,18.5,0,0,0,1,0,0,0,1,Manager,44.0,44295.54
101,CUS_0x11ac,32.71247752,478.8500000000001,14.0,0.0,9.416666666666666,18.09090909090909,0,0,0,0,0,0,0,0,Journalist,26.0,69136.54
102,CUS_0x11ae,32.40560748916666,4444.99,25.0,9.0,38.416666666666664,20.0,0,1,1,0,1,0,0,0,Architect,22.0,14550.52
103,CUS_0x11b1,32.724812444166666,905.89,10.0,1.0,18.666666666666668,12.666666666666666,0,0,0,1,0,0,0,0,Lawyer,28.0,34819.83
104,CUS_0x11b7,32.127314348333336,498.60999999999996,10.0,3.0,4.666666666666667,6.416666666666667,1,0,0,1,1,0,0,0,Teacher,28.0,70099.04
105,CUS_0x11c0,29.90989104333333,321.05,4.0,4.0,14.916666666666666,4.166666666666667,0,1,1,1,0,0,1,0,MediaManager,20.0,14527.455
106,CUS_0x11c1,31.684426693333332,533.71,12.0,3.0,8.916666666666666,11.363636363636363,0,0,0,1,1,1,0,0,Engineer,34.0,29902.22
107,CUS_0x11c6,32.78437206,455.49,1.0,4.0,8.166666666666666,7.25,0,1,0,1,0,1,0,1,Manager,49.0,16523.745
108,CUS_0x11c7,29.574013384166665,1019.46,5.0,3.0,7.333333333333333,6.0,1,1,1,0,0,0,0,0,Architect,54.0,36817.94
109,CUS_0x11d1,30.613783361666666,289.73,6.0,2.0,14.25,9.7,0,0,0,1,0,0,0,1,Mechanic,25.0,11731.585
110,CUS_0x11d9,33.46842341833334,41.82,3.0,0.0,11.583333333333334,5.333333333333333,0,0,0,0,0,0,0,0,Scientist,42.0,87538.24
111,CUS_0x11e2,31.489691476666668,753.21,11.0,1.0,0.08333333333333333,1.7272727272727273,0,0,0,0,0,0,0,1,Musician,35.0,44986.55
112,CUS_0x11eb,33.3683457375,306.85,1.0,2.0,9.833333333333334,11.909090909090908,0,1,0,0,0,0,1,0,Entrepreneur,24.0,62835.08
113,CUS_0x11ec,31.068309390833335,2344.06,18.0,6.0,39.166666666666664,66.11111111111111,0,0,1,1,1,0,1,1,Journalist,35.0,14867.69
114,CUS_0x11fc,34.05079853666667,800.94,3.0,2.0,14.833333333333334,11.166666666666666,0,0,0,0,0,1,1,0,Lawyer,31.0,38735.57
115,CUS_0x1204,29.109478500833333,1752.0199999999998,24.0,4.0,21.916666666666668,7.75,1,0,0,0,1,1,1,0,Writer,46.0,18829.82
116,CUS_0x1207,30.513974164999997,1594.83,22.0,6.0,47.416666666666664,15.25,1,0,1,1,1,0,1,0,Developer,34.0,19506.73
117,CUS_0x120c,33.311080401666665,1833.8100000000002,21.0,9.0,16.75,24.583333333333332,1,1,0,0,1,1,0,1,Scientist,16.0,29135.38
118,CUS_0x120d,30.2559511825,183.15,4.0,4.0,7.916666666666667,12.272727272727273,0,1,0,0,1,0,0,0,Lawyer,27.0,18743.075
119,CUS_0x1216,33.016389822499995,1693.7300000000002,27.0,2.0,44.0,14.181818181818182,0,0,0,0,0,0,0,1,Engineer,19.0,20143.27
120,CUS_0x121b,35.98234701333333,743.65,8.0,2.0,23.75,3.4545454545454546,0,0,0,0,0,0,1,0,Architect,42.0,33209.27
121,CUS_0x1220,34.32829416083333,722.25,9.0,2.0,0.0,1.2727272727272727,1,0,0,1,0,0,0,0,Architect,32.0,128494.52
122,CUS_0x1226,29.9782372775,1278.12,14.0,3.0,16.916666666666668,15.545454545454545,0,1,0,1,0,1,0,0,Manager,53.0,11421.51
123,CUS_0x122c,29.3064560925,1252.46,11.0,3.0,22.75,18.0,0,1,1,0,0,0,0,1,Entrepreneur,48.0,36346.13
124,CUS_0x122f,32.54624457166667,1358.96,15.0,9.0,34.0,16.818181818181817,0,0,1,1,0,1,1,0,MediaManager,24.0,18231.52
125,CUS_0x1231,29.186913356666665,1365.58,13.0,6.0,14.916666666666666,8.363636363636363,0,0,0,1,1,1,0,0,Journalist,39.0,30739.3
126,CUS_0x1232,30.186314090833335,3699.44,22.0,7.0,42.25,14.0,1,1,0,1,0,0,1,0,Developer,17.0,14937.49
127,CUS_0x1233,32.90641106166667,1052.71,9.0,4.0,0.5833333333333334,4.818181818181818,0,0,1,0,1,0,0,0,Entrepreneur,51.0,42112.56
128,CUS_0x1234,32.604416603333334,340.81,12.0,2.0,26.666666666666668,12.25,0,0,1,0,0,0,0,0,Musician,24.0,64996.98
129,CUS_0x1236,32.04050379583334,1085.7,7.0,3.0,4.25,0.5833333333333334,1,0,0,1,1,0,0,0,Scientist,25.0,28352.24
130,CUS_0x123a,32.79984539,1643.0600000000002,34.0,2.0,27.916666666666668,17.5,0,0,0,0,1,0,0,0,MediaManager,15.0,36228.2
131,CUS_0x123d,32.35278165583333,3044.94,18.0,6.0,54.5,16.90909090909091,0,1,1,1,0,0,0,0,Architect,31.0,7703.635
132,CUS_0x1246,30.34487554,1352.38,3.0,1.0,23.25,44.72727272727273,0,0,1,0,0,0,0,0,Entrepreneur,33.0,22188.45
133,CUS_0x1249,32.347486715,1818.36,26.0,3.0,50.166666666666664,18.363636363636363,0,0,1,0,0,1,0,0,Teacher,33.0,9529.855
134,CUS_0x124a,30.118067345,408.71,2.0,3.0,0.3333333333333333,5.25,1,0,0,0,0,1,0,0,Developer,29.0,16861.34
135,CUS_0x1250,33.32012774166667,4205.6,31.0,9.0,59.583333333333336,15.5,1,0,1,1,1,0,0,1,Developer,29.0,72503.56
136,CUS_0x1252,30.29705289916667,187.64,4.0,4.0,6.75,11.5,0,1,0,1,1,0,0,0,Entrepreneur,29.0,34132.87
137,CUS_0x1255,32.375297869166666,632.29,3.0,1.0,7.083333333333333,2.0,0,0,0,0,0,0,0,1,Scientist,47.0,38670.08
138,CUS_0x1258,34.789824045833335,766.63,20.0,0.0,24.833333333333332,9.416666666666666,0,0,0,0,0,0,0,0,Entrepreneur,50.0,44955.64
139,CUS_0x125c,31.242049496666667,2554.25,10.0,2.0,28.25,18.5,0,0,0,1,1,0,0,0,Manager,36.0,32129.0
140,CUS_0x1269,32.242507500833334,83.55,8.0,3.0,0.08333333333333333,3.1666666666666665,0,0,1,0,0,0,1,0,Manager,22.0,42031.09
141,CUS_0x126d,31.992518517500002,1462.53,20.0,7.0,22.25,53.0,1,0,0,1,0,1,0,1,Architect,37.0,34710.6
142,CUS_0x1271,32.464572823333334,255.82000000000002,17.0,6.0,13.666666666666666,10.2,1,0,1,0,0,0,1,1,Architect,46.0,99337.28
143,CUS_0x1274,32.03541415583333,1800.41,18.0,3.0,13.333333333333334,14.818181818181818,0,0,0,1,0,1,0,0,Scientist,45.0,49070.94
144,CUS_0x1277,32.47670750166667,720.94,13.0,5.0,13.75,10.090909090909092,0,0,0,0,1,0,1,1,Engineer,23.0,13762.45
145,CUS_0x1278,34.43148896416667,899.73,20.0,0.0,19.083333333333332,14.666666666666666,0,0,0,0,0,0,0,0,Teacher,20.0,12416.06
146,CUS_0x127d,33.083752024166664,1928.03,20.0,4.0,17.916666666666668,20.181818181818183,0,1,0,0,0,1,0,0,Doctor,43.0,15096.85
147,CUS_0x1281,35.1721197775,851.71,20.0,6.0,17.333333333333332,8.0,0,1,0,1,0,0,1,0,Writer,18.0,8780.975
148,CUS_0x1285,30.998200739166666,1350.85,16.0,0.0,17.166666666666668,11.909090909090908,0,0,0,0,0,0,0,0,Architect,44.0,10692.16
149,CUS_0x1286,31.46347964916667,696.57,12.0,2.0,22.333333333333332,8.083333333333334,0,0,0,0,0,0,1,0,Entrepreneur,55.0,33642.07
150,CUS_0x1288,30.2473018275,3947.24,31.0,8.0,25.333333333333332,18.363636363636363,1,0,0,1,0,1,0,1,Doctor,34.0,60938.13
151,CUS_0x128e,32.9263931375,1104.6,6.0,5.0,8.916666666666666,19.416666666666668,1,0,1,0,0,1,0,0,Mechanic,20.0,20232.11
152,CUS_0x128f,33.26030286833333,2555.9,22.0,5.0,20.416666666666668,23.916666666666668,1,1,0,1,0,0,0,0,Teacher,32.0,75816.52
153,CUS_0x1290,33.54839117416667,83.16,12.0,3.0,11.666666666666666,19.363636363636363,0,0,0,0,1,1,0,1,Architect,31.0,10455.875
154,CUS_0x1297,29.745163415833332,3916.47,30.0,9.0,60.833333333333336,23.818181818181817,1,1,0,1,1,1,0,1,Manager,46.0,57738.06
155,CUS_0x1298,30.75265985,89.98,10.0,4.0,16.416666666666668,14.727272727272727,1,0,0,0,1,0,1,0,Lawyer,50.0,102080.46
156,CUS_0x129b,33.82127488333334,129.15,15.0,7.0,17.916666666666668,9.75,1,0,0,0,0,1,1,1,Entrepreneur,24.0,95933.68
157,CUS_0x12a4,31.646895085833332,1695.41,15.0,5.0,61.75,19.25,0,1,1,0,1,0,0,0,Mechanic,24.0,78094.28
158,CUS_0x12a6,31.568858813333335,1401.91,25.0,4.0,27.833333333333332,15.5,0,1,0,0,1,0,1,0,Manager,25.0,18158.33
159,CUS_0x12a7,30.806768511666665,952.9,20.0,4.0,24.833333333333332,18.3,0,1,1,0,0,0,1,0,MediaManager,37.0,26450.59
160,CUS_0x12a8,33.33777001666667,300.65,10.0,4.0,22.666666666666668,12.0,0,0,0,1,0,0,1,1,Doctor,44.0,103092.27
161,CUS_0x12a9,32.013098875,730.64,2.0,4.0,13.833333333333334,6.666666666666667,0,0,0,0,0,1,1,1,MediaManager,44.0,44822.21
162,CUS_0x12af,33.1002977425,173.76,19.0,4.0,15.0,12.0,1,0,0,0,1,0,0,0,Manager,37.0,33799.36
163,CUS_0x12b6,30.917950772500003,4635.75,19.0,5.0,26.166666666666668,25.0,0,0,1,1,0,1,0,0,Writer,18.0,67104.12
164,CUS_0x12b8,28.477887401666667,3167.74,21.0,8.0,24.75,20.88888888888889,0,1,0,1,0,0,1,1,Doctor,29.0,15906.4
165,CUS_0x12be,32.943840895,1020.27,8.0,1.0,2.1666666666666665,8.3,0,0,0,0,0,0,0,1,Engineer,34.0,15717.275
166,CUS_0x12bf,33.9285492975,1113.49,12.0,2.0,15.583333333333334,9.0,1,0,0,0,0,0,0,1,Entrepreneur,51.0,97976.08
167,CUS_0x12c1,32.2270555275,695.2000000000002,5.0,4.0,16.583333333333332,42.583333333333336,0,1,0,1,0,0,0,1,Manager,48.0,85760.85
168,CUS_0x12cb,31.2554781075,1960.28,22.0,7.0,41.5,20.0,1,1,0,1,0,0,0,0,Writer,39.0,45188.52
169,CUS_0x12cc,30.021349919166667,1896.78,17.0,3.0,21.833333333333332,56.9,1,0,0,0,1,1,0,0,Developer,30.0,20521.36
170,CUS_0x12ce,31.921198949166666,2065.27,29.0,6.0,62.5,58.54545454545455,0,0,1,0,1,1,1,0,Accountant,42.0,9795.07
171,CUS_0x12d1,34.51012811416667,691.5300000000001,15.0,2.0,22.666666666666668,14.083333333333334,0,0,0,0,0,0,1,1,Accountant,41.0,21384.94
172,CUS_0x12d5,32.116292504166665,3589.56,18.0,5.0,23.166666666666668,15.454545454545455,0,1,1,0,0,0,1,0,Scientist,29.0,62320.56
173,CUS_0x12dd,30.200838438333335,647.94,11.0,4.0,9.416666666666666,2.0833333333333335,1,0,0,0,0,1,0,0,Developer,36.0,31754.27
174,CUS_0x12e7,34.31268138833334,1913.66,15.0,2.0,49.75,21.7,0,0,0,0,1,1,0,0,Architect,43.0,46874.85
175,CUS_0x12ea,32.39161930583334,2927.1,25.0,9.0,27.333333333333332,15.916666666666666,1,1,0,0,1,1,1,0,Doctor,15.0,38980.76
176,CUS_0x12ec,34.00143553416667,1771.8,28.0,4.0,19.666666666666668,13.454545454545455,1,1,0,0,1,0,0,0,Scientist,42.0,45675.0
177,CUS_0x12ef,35.232124415,312.14,11.0,0.0,24.166666666666668,16.545454545454547,0,0,0,0,0,0,0,0,Mechanic,44.0,68898.0
178,CUS_0x12f2,30.8853466275,1593.75,18.0,8.0,19.0,21.75,1,0,1,0,0,1,0,0,Writer,25.0,59237.96
179,CUS_0x12fa,35.8767171,502.29,15.0,0.0,9.666666666666666,61.5,0,0,0,0,0,0,0,0,Manager,46.0,87876.27
180,CUS_0x12fb,30.320230741666666,397.8999999999999,7.0,1.0,18.833333333333332,14.818181818181818,0,0,0,0,0,0,0,1,Doctor,35.0,26342.91
